Question,Context,Label
,"Other drugs are used in asthma treatment uncommonly and in specific circumstances. Magnesium is often used in the emergency department, but it is not recommended in the management of chronic asthma.

Immunotherapy may be indicated when symptoms are triggered by allergy, as suggested by history and confirmed by allergy testing. Immunotherapy is generally more effective in children than adults. If symptoms are not significantly relieved after 24 months, then therapy is stopped. If symptoms are relieved, therapy should continue for ≥ 3 years, although the optimum duration is unknown.

Other drugs that suppress the immune system are occasionally given to reduce dependence on high-dose oral corticosteroids, but these drugs have a significant risk of toxicity. Low-dose methotrexate (5 to 15 mg orally or IM once a week) can lead to modest improvements in FEV1 and modest decreases in daily oral corticosteroid use. Gold and cyclosporine are also modestly effective, but toxicity and need for monitoring limit their use.

Other therapies for management of chronic asthma include nebulized lidocaine, nebulized heparin, colchicine, and high-dose IV immune globulin. Limited evidence supports the use of any of these therapies, and their benefits are unproved, so none are currently recommended for routine clinical use.",
,"Beta agonists
Beta2-adrenergic receptor agonists and beta agonists relax bronchial smooth muscle, decrease mast cell degranulation and histamine release, inhibit microvascular leakage into the airways, and increase mucociliary clearance. Beta-2 agonist preparations may be short-acting, long-acting, or ultra–long-acting (see tables Drug Treatment of Chronic Asthma and Drug Treatment of Asthma Exacerbations).

Short-acting beta-2 agonists (eg, albuterol) 2 puffs every 4 hours inhaled as needed are the drug of choice for relieving acute bronchoconstriction and preventing exercise-induced asthma. They should not be used alone for long-term maintenance of chronic asthma. They take effect within minutes and are active for up to 6 to 8 hours, depending on the drug. Tachycardia and tremor are the most common acute adverse effects of inhaled beta agonists and are dose-related. Mild hypokalemia occurs uncommonly. Use of levalbuterol (a solution containing the R-isomer of albuterol) theoretically minimizes adverse effects, but its long-term efficacy and safety are unproved. Oral beta agonists have more systemic effects and generally should be avoided.

Long-acting beta agonists (eg, salmeterol) are active for up to 12 hours. They are used for moderate and severe asthma but should never be used as monotherapy. They interact synergistically with inhaled corticosteroids and permit lower dosing of corticosteroids.

Ultra-long-acting beta agonists (eg, indacaterol) are active for up to 24 hours and as with long-acting beta agonists are used for moderate to severe asthma, and should never be used as a monotherapy. They interact synergistically with inhaled corticosteroids and permit lower dosing of corticosteroids.

The safety of regular long-term use of beta agonists has been confirmed by multiple randomized, controlled trials and meta-analyses, including a large international safety study that was followed by removal of a black box warning by the Food and Drug Administration (1). Because the safety and efficacy of long-acting beta agonists have been demonstrated only when used in combination with an inhaled corticosteroid, all long-acting and ultra-long beta agonists should be used only in combination with an inhaled corticosteroid for patients whose condition is not adequately controlled with other asthma controllers (eg, low- to medium-dose inhaled corticosteroids) or whose disease severity clearly warrants additional maintenance therapies. Daily use or diminishing effects of short-acting beta agonists or use of ≥ 1 canister per month suggests inadequate control and the need to begin or intensify other therapies.",
What Is Asthma?,"
Asthma is a disease that affects your lungs. It is one of the most common long-term diseases of children, but adults can have asthma, too. Asthma causes wheezing, breathlessness, chest tightness, and coughing at night or early in the morning. If you have asthma, you have it all the time, but you will have asthma attacks only when something bothers your lungs.

We don’t know all the things that can cause asthma, but we do know that genetic, environmental, and occupational factors have been linked to developing asthma.

If someone in your immediate family has asthma, you are more likely to have it. “Atopy,” the genetic tendency to develop an allergic disease, can play a big part in developing allergic asthma. However, not all asthma is allergic asthma.

Being exposed to things in the environment, like mold or dampness, some allergens such as dust mites, and secondhand tobacco smoke have been linked to developing asthma. Air pollution and viral lung infection may also lead to asthma.

Occupational asthma occurs when someone who never had asthma develops it because he or she is exposed to something at work. This can happen if you develop an allergy to something at work such as mold or if you are exposed to irritants such as wood dust or chemicals at work over and over at lower levels or all at once at higher levels.",
How Can You Tell if You Have Asthma?,"
It can be hard to tell if someone has asthma, especially in children under age 5. Having a doctor check how well your lungs work and check for allergies can help you find out if you have asthma.

During a checkup, a doctor will ask if you cough a lot, especially at night. He or she will also ask whether your breathing problems are worse after physical activity or at certain times of year. The doctor will then ask about chest tightness, wheezing, and colds lasting more than 10 days. He or she will ask whether anyone in your family has or has had asthma, allergies, or other breathing problems. Finally, the doctor will ask questions about your home and whether you have missed school or work or have trouble doing certain things.

The doctor may also do a breathing test, called spirometry, to find out how well your lungs are working by testing how much air you can breathe out after taking a very deep breath before and after you use asthma medicine.",
What Is an Asthma Attack?,"An asthma attack may include coughing, chest tightness, wheezing, and trouble breathing. The attack happens in your body’s airways, which are the paths that carry air to your lungs. As the air moves through your lungs, the airways become smaller, like the branches of a tree are smaller than the tree trunk. During an asthma attack, the sides of the airways in your lungs swell and the airways shrink. Less air gets in and out of your lungs, and mucous that your body makes clogs up the airways.

You can control your asthma by knowing the warning signs of an asthma attack, staying away from things that cause an attack, and following your doctor’s advice. When you control your asthma:

you won’t have symptoms such as wheezing or coughing,
you’ll sleep better,
you won’t miss work or school,
you can take part in all physical activities, and
you won’t have to go to the hospital.",
What Causes an Asthma Attack?,"An asthma attack can happen when you are exposed to “asthma triggers.” Your asthma triggers can be very different from someone else’s asthma triggers. Know your triggers and learn how to avoid them. Watch out for an attack when you can’t avoid your triggers. Some of the most common triggers are tobacco smoke, dust mites, outdoor air pollution, cockroach allergen, pets, mold, smoke from burning wood or grass, and infections like flu.",
How Is Asthma Treated?,"Take your medicine exactly as your doctor tells you and stay away from things that can trigger an attack to control your asthma.

Everyone with asthma does not take the same medicine.

You can breathe in some medicines and take other medicines as a pill. Asthma medicines come in two types—quick-relief and long-term control. Quick-relief medicines control the symptoms of an asthma attack. If you need to use your quick-relief medicines more and more, visit your doctor to see if you need a different medicine. Long-term control medicines help you have fewer and milder attacks, but they don’t help you while you are having an asthma attack.

Asthma medicines can have side effects, but most side effects are mild and soon go away. Ask your doctor about the side effects of your medicines.

Remember – you can control your asthma. With your doctor’s help, make your own asthma action plan. Decide who should have a copy of your plan and where he or she should keep it. Take your long-term control medicine even when you don’t have symptoms.",
,"Doing Well
I don’t have cough, wheezing, chest tightness, or trouble breathing at any time.
I can do all the things I usually do.
When I use a peak flow meter my peak flow* is more than 80 percent or more of my best peak flow.
Continue taking your long-term control medicine.
Asthma Is Getting Worse
I have some cough, wheezing, chest tightness, or trouble breathing. Or
I wake up at night because of my asthma. Or
I can’t do some of the things I usually do. Or
When I use a peak flow meter my peak flow* is half to three quarters of my best peak flow.
Add your quick-relief medicine and continue your long-term control medicine.
If your symptoms get better after an hour keep checking them and continue your long-term control medicine.
Medical Alert!
I have a lot of trouble breathing. Or
My quick-relief medicines don’t help. Or
I can’t do any of the things I usually do. Or
I was in the yellow zone for 24 hours and I’m not getting better. Or
When I use a peak flow meter my peak flow* is less than half of my best peak flow.
Add the other medicines your doctor has prescribed and call your doctor.
If your symptoms don’t get better and you can’t reach your doctor, go to the hospital.",
,"Asthma is caused by a combination of complex and incompletely understood environmental and genetic interactions.[4][37] These influence both its severity and its responsiveness to treatment.[38] It is believed that the recent increased rates of asthma are due to changing epigenetics (heritable factors other than those related to the DNA sequence) and a changing living environment.[39] Asthma that starts before the age of 12 years old is more likely due to genetic influence, while onset after age 12 is more likely due to environmental influence.[40]",
,"Many environmental factors have been associated with asthma's development and exacerbation, including, allergens, air pollution, and other environmental chemicals.[41] Smoking during pregnancy and after delivery is associated with a greater risk of asthma-like symptoms.[42] Low air quality from environmental factors such as traffic pollution or high ozone levels[43] has been associated with both asthma development and increased asthma severity.[44] Over half of cases in children in the United States occur in areas when air quality is below the EPA standards.[45] Low air quality is more common in low-income and minority communities.[46]

Exposure to indoor volatile organic compounds may be a trigger for asthma; formaldehyde exposure, for example, has a positive association.[47] Phthalates in certain types of PVC are associated with asthma in both children and adults.[48][49] While exposure to pesticides is linked to the development of asthma, a cause and effect relationship has yet to be established.[50][51]

The majority of the evidence does not support a causal role between acetaminophen (paracetamol) or antibiotic use and asthma.[52][53] A 2014 systematic review found that the association between acetaminophen use and asthma disappeared when respiratory infections were taken into account.[54] Acetaminophen use by a mother during pregnancy is also associated with an increased risk of the child developing asthma.[55] Maternal psychological stress during pregnancy is a risk factor for the child to develop asthma.[56]

Asthma is associated with exposure to indoor allergens.[57] Common indoor allergens include dust mites, cockroaches, animal dander (fragments of fur or feathers), and mold.[58][59] Efforts to decrease dust mites have been found to be ineffective on symptoms in sensitized subjects.[60][61] Weak evidence suggests that efforts to decrease mold by repairing buildings may help improve asthma symptoms in adults.[62] Certain viral respiratory infections, such as respiratory syncytial virus and rhinovirus,[20] may increase the risk of developing asthma when acquired as young children.[63] Certain other infections, however, may decrease the risk.[20]",
,"The hygiene hypothesis attempts to explain the increased rates of asthma worldwide as a direct and unintended result of reduced exposure, during childhood, to non-pathogenic bacteria and viruses.[64][65] It has been proposed that the reduced exposure to bacteria and viruses is due, in part, to increased cleanliness and decreased family size in modern societies.[66] Exposure to bacterial endotoxin in early childhood may prevent the development of asthma, but exposure at an older age may provoke bronchoconstriction.[67] Evidence supporting the hygiene hypothesis includes lower rates of asthma on farms and in households with pets.[66]

Use of antibiotics in early life has been linked to the development of asthma.[68] Also, delivery via caesarean section is associated with an increased risk (estimated at 20–80%) of asthma – this increased risk is attributed to the lack of healthy bacterial colonization that the newborn would have acquired from passage through the birth canal.[69][70] There is a link between asthma and the degree of affluence which may be related to the hygiene hypothesis as less affluent individuals often have more exposure to bacteria and viruses.[71]",
,"Family history is a risk factor for asthma, with many different genes being implicated.[73] If one identical twin is affected, the probability of the other having the disease is approximately 25%.[73] By the end of 2005, 25 genes had been associated with asthma in six or more separate populations, including GSTM1, IL10, CTLA-4, SPINK5, LTC4S, IL4R and ADAM33, among others.[74] Many of these genes are related to the immune system or modulating inflammation. Even among this list of genes supported by highly replicated studies, results have not been consistent among all populations tested.[74] In 2006 over 100 genes were associated with asthma in one genetic association study alone;[74] more continue to be found.[75]

Some genetic variants may only cause asthma when they are combined with specific environmental exposures.[4] An example is a specific single nucleotide polymorphism in the CD14 region and exposure to endotoxin (a bacterial product). Endotoxin exposure can come from several environmental sources including tobacco smoke, dogs, and farms. Risk for asthma, then, is determined by both a person's genetics and the level of endotoxin exposure.[72]",
,"A triad of atopic eczema, allergic rhinitis and asthma is called atopy.[76] The strongest risk factor for developing asthma is a history of atopic disease;[63] with asthma occurring at a much greater rate in those who have either eczema or hay fever.[77] Asthma has been associated with eosinophilic granulomatosis with polyangiitis (formerly known as Churg–Strauss syndrome), an autoimmune disease and vasculitis.[78] Individuals with certain types of urticaria may also experience symptoms of asthma.[76]

There is a correlation between obesity and the risk of asthma with both having increased in recent years.[79][80] Several factors may be at play including decreased respiratory function due to a buildup of fat and the fact that adipose tissue leads to a pro-inflammatory state.[81]

Beta blocker medications such as propranolol can trigger asthma in those who are susceptible.[82] Cardioselective beta-blockers, however, appear safe in those with mild or moderate disease.[83][84] Other medications that can cause problems in asthmatics are angiotensin-converting enzyme inhibitors, aspirin, and NSAIDs.[85] Use of acid suppressing medication (proton pump inhibitors and H2 blockers) during pregnancy is associated with an increased risk of asthma in the child.[86]",
,"Some individuals will have stable asthma for weeks or months and then suddenly develop an episode of acute asthma. Different individuals react to various factors in different ways.[87] Most individuals can develop severe exacerbation from a number of triggering agents.[87]

Home factors that can lead to exacerbation of asthma include dust, animal dander (especially cat and dog hair), cockroach allergens and mold.[87][88] Perfumes are a common cause of acute attacks in women and children. Both viral and bacterial infections of the upper respiratory tract can worsen the disease.[87] Psychological stress may worsen symptoms – it is thought that stress alters the immune system and thus increases the airway inflammatory response to allergens and irritants.[44][89]

Asthma exacerbations in school‐aged children peak in autumn, shortly after children return to school. This might reflect a combination of factors, including poor treatment adherence, increased allergen and viral exposure, and altered immune tolerance. There is limited evidence to guide possible approaches to reducing autumn exacerbations, but while costly, seasonal omalizumab treatment from four to six weeks before school return may reduce autumn asthma exacerbations.[90]",
,"Asthma is the result of chronic inflammation of the conducting zone of the airways (most especially the bronchi and bronchioles), which subsequently results in increased contractability of the surrounding smooth muscles. This among other factors leads to bouts of narrowing of the airway and the classic symptoms of wheezing. The narrowing is typically reversible with or without treatment. Occasionally the airways themselves change.[21] Typical changes in the airways include an increase in eosinophils and thickening of the lamina reticularis. Chronically the airways' smooth muscle may increase in size along with an increase in the numbers of mucous glands. Other cell types involved include T lymphocytes, macrophages, and neutrophils. There may also be involvement of other components of the immune system, including cytokines, chemokines, histamine, and leukotrienes among others.[20]",
,"While asthma is a well-recognized condition, there is not one universal agreed upon definition.[20] It is defined by the Global Initiative for Asthma as ""a chronic inflammatory disorder of the airways in which many cells and cellular elements play a role. The chronic inflammation is associated with airway hyper-responsiveness that leads to recurrent episodes of wheezing, breathlessness, chest tightness and coughing particularly at night or in the early morning. These episodes are usually associated with widespread but variable airflow obstruction within the lung that is often reversible either spontaneously or with treatment"".[21]

There is currently no precise test for the diagnosis, which is typically based on the pattern of symptoms and response to therapy over time.[5][20] Asthma may be suspected if there is a history of recurrent wheezing, coughing or difficulty breathing and these symptoms occur or worsen due to exercise, viral infections, allergens or air pollution.[91] Spirometry is then used to confirm the diagnosis.[91] In children under the age of six the diagnosis is more difficult as they are too young for spirometry.[92]

Spirometry
Spirometry is recommended to aid in diagnosis and management.[93][94] It is the single best test for asthma. If the FEV1 measured by this technique improves more than 12% and increases by at least 200 milliliters following administration of a bronchodilator such as salbutamol, this is supportive of the diagnosis. It however may be normal in those with a history of mild asthma, not currently acting up.[20] As caffeine is a bronchodilator in people with asthma, the use of caffeine before a lung function test may interfere with the results.[95] Single-breath diffusing capacity can help differentiate asthma from COPD.[20] It is reasonable to perform spirometry every one or two years to follow how well a person's asthma is controlled.[96]

Others
The methacholine challenge involves the inhalation of increasing concentrations of a substance that causes airway narrowing in those predisposed. If negative it means that a person does not have asthma; if positive, however, it is not specific for the disease.[20]

Other supportive evidence includes: a ≥20% difference in peak expiratory flow rate on at least three days in a week for at least two weeks, a ≥20% improvement of peak flow following treatment with either salbutamol, inhaled corticosteroids or prednisone, or a ≥20% decrease in peak flow following exposure to a trigger.[97] Testing peak expiratory flow is more variable than spirometry, however, and thus not recommended for routine diagnosis. It may be useful for daily self-monitoring in those with moderate to severe disease and for checking the effectiveness of new medications. It may also be helpful in guiding treatment in those with acute exacerbations.[98]",
,"Asthma is clinically classified according to the frequency of symptoms, forced expiratory volume in one second (FEV1), and peak expiratory flow rate.[11] Asthma may also be classified as atopic (extrinsic) or non-atopic (intrinsic), based on whether symptoms are precipitated by allergens (atopic) or not (non-atopic).[12] While asthma is classified based on severity, at the moment there is no clear method for classifying different subgroups of asthma beyond this system.[99] Finding ways to identify subgroups that respond well to different types of treatments is a current critical goal of asthma research.[99]

Although asthma is a chronic obstructive condition, it is not considered as a part of chronic obstructive pulmonary disease, as this term refers specifically to combinations of disease that are irreversible such as bronchiectasis and emphysema.[100] Unlike these diseases, the airway obstruction in asthma is usually reversible; however, if left untreated, the chronic inflammation from asthma can lead the lungs to become irreversibly obstructed due to airway remodeling.[101] In contrast to emphysema, asthma affects the bronchi, not the alveoli.[102] The combination of asthma with a component of irreversible airways obstruction has been termed the asthma-chronic obstructive disease (COPD) overlap syndrome (ACOS). Compared to other people with ""pure"" asthma or COPD, people with ACOS exhibit increased morbidity, mortality and possibly more comorbidities.[103]",
,"An acute asthma exacerbation is commonly referred to as an asthma attack. The classic symptoms are shortness of breath, wheezing, and chest tightness.[20] The wheezing is most often when breathing out.[105] While these are the primary symptoms of asthma,[106] some people present primarily with coughing, and in severe cases, air motion may be significantly impaired such that no wheezing is heard.[104] In children, chest pain is often present.[107]

Signs occurring during an asthma attack include the use of accessory muscles of respiration (sternocleidomastoid and scalene muscles of the neck), there may be a paradoxical pulse (a pulse that is weaker during inhalation and stronger during exhalation), and over-inflation of the chest.[108] A blue color of the skin and nails may occur from lack of oxygen.[109]

In a mild exacerbation the peak expiratory flow rate (PEFR) is ≥200 L/min, or ≥50% of the predicted best.[110] Moderate is defined as between 80 and 200 L/min, or 25% and 50% of the predicted best, while severe is defined as ≤ 80 L/min, or ≤25% of the predicted best.[110]

Acute severe asthma, previously known as status asthmaticus, is an acute exacerbation of asthma that does not respond to standard treatments of bronchodilators and corticosteroids.[111] Half of cases are due to infections with others caused by allergen, air pollution, or insufficient or inappropriate medication use.[111]

Brittle asthma is a kind of asthma distinguishable by recurrent, severe attacks.[104] Type 1 brittle asthma is a disease with wide peak flow variability, despite intense medication. Type 2 brittle asthma is background well-controlled asthma with sudden severe exacerbations.[104]",
,"Exercise can trigger bronchoconstriction both in people with or without asthma.[112] It occurs in most people with asthma and up to 20% of people without asthma.[112] Exercise-induced bronchoconstriction is common in professional athletes. The highest rates are among cyclists (up to 45%), swimmers, and cross-country skiers.[113] While it may occur with any weather conditions, it is more common when it is dry and cold.[114] Inhaled beta2-agonists do not appear to improve athletic performance among those without asthma,[115] however, oral doses may improve endurance and strength.[116][117]",
,"Asthma as a result of (or worsened by) workplace exposures is a commonly reported occupational disease.[118] Many cases, however, are not reported or recognized as such.[119][120] It is estimated that 5–25% of asthma cases in adults are work-related. A few hundred different agents have been implicated, with the most common being: isocyanates, grain and wood dust, colophony, soldering flux, latex, animals, and aldehydes. The employment associated with the highest risk of problems include: those who spray paint, bakers and those who process food, nurses, chemical workers, those who work with animals, welders, hairdressers and timber workers.[118]

Aspirin-induced asthma
Main article: Aspirin-exacerbated respiratory disease
Aspirin-exacerbated respiratory disease (AERD), also known as aspirin-induced asthma, affects up to 9% of asthmatics.[121] AERD consists of asthma, nasal polyps, sinus disease, and respiratory reactions to aspirin and other NSAID medications (such as ibuprofen and naproxen).[122] People often also develop loss of smell and most experience respiratory reactions to alcohol.[123]

Alcohol-induced asthma
Main article: Alcohol-induced respiratory reactions
Alcohol may worsen asthmatic symptoms in up to a third of people.[124] This may be even more common in some ethnic groups such as the Japanese and those with aspirin-induced asthma.[124] Other studies have found improvement in asthmatic symptoms from alcohol.[124]

Non-atopic asthma
Non-atopic asthma, also known as intrinsic or non-allergic, makes up between 10 and 33% of cases. There is negative skin test to common inhalant allergens. Often it starts later in life, and women are more commonly affected than men. Usual treatments may not work as well.[125] The concept that ""non-atopic"" is synonymous with ""non-allergic"" is called into question by epidemiological data that the prevalence of asthma is closely related to the serum IgE level standardized for age and sex (P<0.0001), indicating that asthma is almost always associated with some sort of IgE-related reaction and therefore has an allergic basis, although not all the allergic stimuli that cause asthma appear to have been included in the battery of aeroallergens studied (the ""missing antigen(s)"" hypothesis).[126] For example, an updated systematic review and meta-analysis of population-attributable risk (PAR) of Chlamydia pneumoniae biomarkers in chronic asthma found that the PAR for C. pneumoniae-specific IgE was 47%.[127]

Infectious asthma
When queried, asthma patients may report that their first asthma symptoms began after an acute lower respiratory tract illness. This type of history has been labelled the ""infectious asthma"" (IA) syndrome,[128] or as ""asthma associated with infection"" (AAWI)[129] to distinguish infection-associated asthma initiation from the well known association of respiratory infections with asthma exacerbations. Reported prevalences of IA for adults range from around 40% in a primary care practice[128] to 70% in a specialty practice treating mainly severe asthma patients.[130] The true population prevalence of IA in adult-onset asthma is unknown because clinicians are not trained to elicit this type of history routinely, and recollection in child-onset asthma is challenging.

Differential diagnosis
Many other conditions can cause symptoms similar to those of asthma. In children, symptoms may be due to other upper airway diseases such as allergic rhinitis and sinusitis, as well as other causes of airway obstruction including foreign body aspiration, tracheal stenosis, laryngotracheomalacia, vascular rings, enlarged lymph nodes or neck masses.[131] Bronchiolitis and other viral infections may also produce wheezing.[132] In adults, COPD, congestive heart failure, airway masses, as well as drug-induced coughing due to ACE inhibitors may cause similar symptoms. In both populations vocal cord dysfunction may present similarly.[131]

Chronic obstructive pulmonary disease can coexist with asthma and can occur as a complication of chronic asthma. After the age of 65, most people with obstructive airway disease will have asthma and COPD. In this setting, COPD can be differentiated by increased airway neutrophils, abnormally increased wall thickness, and increased smooth muscle in the bronchi. However, this level of investigation is not performed due to COPD and asthma sharing similar principles of management: corticosteroids, long-acting beta-agonists, and smoking cessation.[133] It closely resembles asthma in symptoms, is correlated with more exposure to cigarette smoke, an older age, less symptom reversibility after bronchodilator administration, and decreased likelihood of family history of atopy.[134][135]

Prevention
The evidence for the effectiveness of measures to prevent the development of asthma is weak.[136] The World Health Organization recommends decreasing risk factors such as tobacco smoke, air pollution, chemical irritants including perfume, and the number of lower respiratory infections.[137][138] Other efforts that show promise include: limiting smoke exposure in utero, breastfeeding, and increased exposure to daycare or large families, but none are well supported enough to be recommended for this indication.[136]

Early pet exposure may be useful.[139] Results from exposure to pets at other times are inconclusive[140] and it is only recommended that pets be removed from the home if a person has allergic symptoms to said pet.[141]

Dietary restrictions during pregnancy or when breast feeding have not been found to be effective at preventing asthma in children and are not recommended.[141] Omega-3 consumption, mediterranean diet and anti-oxidants have been suggested by some studies that might help preventing crisis but the evidence is still inconclusive.[142]

Reducing or eliminating compounds known to sensitive people from the work place may be effective.[118] It is not clear if annual influenza vaccinations affects the risk of exacerbations.[143] Immunization, however, is recommended by the World Health Organization.[144] Smoking bans are effective in decreasing exacerbations of asthma.[145]

Management
While there is no cure for asthma, symptoms can typically be improved.[146] The most effective treatment for asthma is identifying triggers, such as cigarette smoke, pets, or aspirin, and eliminating exposure to them. If trigger avoidance is insufficient, the use of medication is recommended. Pharmaceutical drugs are selected based on, among other things, the severity of illness and the frequency of symptoms. Specific medications for asthma are broadly classified into fast-acting and long-acting categories.[147][148] The medications listed below have demonstrated efficacy in improving asthma symptoms, however ""real world"" use-effectiveness is limited as around half of people with asthma worldwide remain sub-optimally controlled, even when treated.[149][150][151] People with asthma may remain sub-optimally controlled either because optimum doses of asthma medications do not work (called ""refractory"" asthma) or because individuals are either unable (e.g. inability to afford treatment, poor inhaler technique) or unwilling (e.g., wish to avoid side effects of corticosteroids) to take optimum doses of prescribed asthma medications (called ""difficult to treat"" asthma). In practice, it is not possible to distinguish ""refractory"" from ""difficult to treat"" categories for patients who have never taken optimum doses of asthma medications. A related issue is that the asthma efficacy trials upon which the pharmacological treatment guidelines are based have systematically excluded the majority of people with asthma.[152][153] For example, asthma efficacy treatment trials always exclude otherwise eligible people who smoke, and smoking blunts the efficacy of inhaled corticosteroids, the mainstay of asthma control management.[154][155][156]

Bronchodilators are recommended for short-term relief of symptoms. In those with occasional attacks, no other medication is needed. If mild persistent disease is present (more than two attacks a week), low-dose inhaled corticosteroids or alternatively, a leukotriene antagonist or a mast cell stabilizer by mouth is recommended. For those who have daily attacks, a higher dose of inhaled corticosteroids is used. In a moderate or severe exacerbation, corticosteroids by mouth are added to these treatments.[7]

People with asthma have higher rates of anxiety, psychological stress, and depression.[157][158] This is associated with poorer asthma control.[157] Cognitive behavioral therapy may improve quality of life, asthma control, and anxiety levels in people with asthma.[157]

Improving people's knowledge about asthma and using a written action plan has been identified as an important component of managing asthma.[159] Providing educational sessions that include information specific to a person's culture is likely effective.[160] More research is necessary to determine if increasing preparedness and knowledge of asthma among school staff and families using home-based and school interventions results in long term improvements in safety for children with asthma.[161][162][163] School-based asthma self-management interventions, which attempt to improve knowledge of asthma, its triggers and the importance of regular practitioner review, may reduce hospital admissions and emergency department visits. These interventions may also reduce the number of days children experience asthma symptoms and may lead to small improvements in asthma-related quality of life.[164] More research is necessary to determine if shared-decision-making is helpful for managing adults with asthma[165] or if a personalized asthma action plan is effective and necessary.[166] Some people with asthma use pulse oximeters to monitor their own blood oxygen levels during an asthma attack. However, there is no evidence regarding the use in these instances.[167]

Lifestyle modification
Avoidance of triggers is a key component of improving control and preventing attacks. The most common triggers include allergens, smoke (from tobacco or other sources), air pollution, non selective beta-blockers, and sulfite-containing foods.[168][169] Cigarette smoking and second-hand smoke (passive smoke) may reduce the effectiveness of medications such as corticosteroids.[170] Laws that limit smoking decrease the number of people hospitalized for asthma.[145] Dust mite control measures, including air filtration, chemicals to kill mites, vacuuming, mattress covers and others methods had no effect on asthma symptoms.[60] There is insufficient evidence to suggest that dehumidifiers are helpful for controlling asthma.[171]

Overall, exercise is beneficial in people with stable asthma.[172] Yoga could provide small improvements in quality of life and symptoms in people with asthma.[173] More research is necessary to determine how effective weight loss is on improving quality of life, the usage of health care services, and adverse effects for people of all ages with asthma.[174][175]

Medications
Medications used to treat asthma are divided into two general classes: quick-relief medications used to treat acute symptoms; and long-term control medications used to prevent further exacerbation.[147] Antibiotics are generally not needed for sudden worsening of symptoms or for treating asthma at any time.[176][177]",
,"Short-acting beta2-adrenoceptor agonists (SABA), such as salbutamol (albuterol USAN) are the first line treatment for asthma symptoms.[7] They are recommended before exercise in those with exercise induced symptoms.[178]
Anticholinergic medications, such as ipratropium, provide additional benefit when used in combination with SABA in those with moderate or severe symptoms and may prevent hospitalizations.[7][179][180] Anticholinergic bronchodilators can also be used if a person cannot tolerate a SABA.[100] If a child requires admission to hospital additional ipratropium does not appear to help over a SABA.[181] For children over 2 years old with acute asthma symptoms, inhaled anticholinergic medications taken alone is safe but is not as effective as inhaled SABA or SABA combined with inhaled anticholinergic medication.[182][179] Adults who receive combined inhaled medications that includes short-acting anticholinergics and SABA may be at risk for increased adverse effects such as experiencing a tremor, agitation, and heart beat palpitations compared to people who are treated with SABA by itself.[180]
Older, less selective adrenergic agonists, such as inhaled epinephrine, have similar efficacy to SABAs.[183] They are however not recommended due to concerns regarding excessive cardiac stimulation.[184]
Corticosteroids can also help with the acute phase of an exacerbation because of their antiinflamatory properties. The benefit of systemic and oral corticosteroids is well established. Inhaled or nebulized corticosteroids can also be used.[142]For adults and children who are in the hospital due to acute asthma, systemic (IV) corticosteroids improve symptoms.[185][186] A short course of corticosteroids after an acute asthma exacerbation may help prevent relapses and reduce hospitalizations.[187]
Other remedies, less established, are intravenous or nebulized magnesium sulfate and helium mixed with oxygen. Aminophylline could be used with caution as well.[142]
Mechanical ventilation is the last resort in case of severe hypoxemia.[142]
Intravenous administration of the drug aminophylline does not provide an improvement in bronchodilation when compared to standard inhaled beta-2 agonist treatment.[188] Aminophylline treatment is associated with more adverse effects compared to inhaled beta-2 agonist treatment.[188]",
